source,target,corr
RASAL3 (64926),TMC8 (147138),0.811
RASAL3 (64926),RHOH (399),0.802
RASAL3 (64926),KLHL6 (89857),0.873
RASAL3 (64926),HCLS1 (3059),0.819
RASAL3 (64926),P2RY8 (286530),0.886
RASAL3 (64926),IKZF1 (10320),0.909
RASAL3 (64926),ARHGAP30 (257106),0.903
RASAL3 (64926),RCSD1 (92241),0.817
ZNF419 (79744),ZNF773 (374928),0.829
CD79A (973),SASH3 (54440),0.818
CD79A (973),VPREB3 (29802),0.811
CD79A (973),GRAP (10750),0.824
CD79A (973),NIBAN3 (199786),0.809
CD79A (973),CD19 (930),0.833
KLF1 (10661),GFI1B (8328),0.825
KLF1 (10661),KEL (3792),0.831
KLF1 (10661),MFSD2B (388931),0.919
LSR (51599),EPCAM (4072),0.806
LSR (51599),CRB3 (92359),0.809
SUGP1 (57794),MAU2 (23383),0.832
RASA4 (10156),RASA4B (100271927),0.958
PIK3CG (5294),IKZF1 (10320),0.824
PIK3CG (5294),RCSD1 (92241),0.806
CAV2 (858),CAV1 (857),0.884
HOXA2 (3199),HOXA3 (3200),0.854
HOXA5 (3202),HOXA6 (3203),0.812
CNTNAP3 (79937),CNTNAP3B (728577),0.874
TWNK (56652),PDCD11 (22984),0.809
TWNK (56652),NOLC1 (9221),0.803
RUNDC3A (10900),CELF3 (11189),0.858
RUNDC3A (10900),CHRNB2 (1141),0.883
RUNDC3A (10900),BSN (8927),0.85
RUNDC3A (10900),CDK5R2 (8941),0.83
TRIM16L (147166),TRIM16 (10626),0.853
HOXB6 (3216),HOXB5 (3215),0.897
PTGES3L-AARSD1 (100885850),PTGES3L (100885848),0.875
RPL34 (6164),RPS3A (6189),0.864
RPS13 (6207),RPL27A (6157),0.855
POU2AF1 (5450),JCHAIN (3512),0.812
POU2AF1 (5450),MZB1 (51237),0.829
BIN2 (51411),PTPN7 (5778),0.809
KRT18 (3875),KRT8 (3856),0.953
SCNN1A (6337),ELF3 (1999),0.804
SRSF3 (6428),SRSF7 (6432),0.808
SRSF3 (6428),SRSF1 (6426),0.801
AMOTL2 (51421),AJUBA (84962),0.81
AMOTL2 (51421),YAP1 (10413),0.84
AMOTL2 (51421),MYOF (26509),0.809
AMOTL2 (51421),EPHA2 (1969),0.844
AMOTL2 (51421),CCN1 (3491),0.863
AMOTL2 (51421),GPX8 (493869),0.811
AMOTL2 (51421),LAMB2 (3913),0.812
USP9Y (8287),RPS4Y1 (6192),0.848
USP9Y (8287),EIF1AY (9086),0.869
ROPN1B (152015),PLP1 (5354),0.805
ROPN1B (152015),S100B (6285),0.812
DLX2 (1746),DLX1 (1745),0.813
SRSF7 (6432),SRSF1 (6426),0.805
PLEK (5341),WDFY4 (57705),0.811
CD48 (962),CD53 (963),0.814
CD48 (962),MZB1 (51237),0.846
CD48 (962),P2RY8 (286530),0.815
CD48 (962),IKZF1 (10320),0.811
CD48 (962),ARHGAP30 (257106),0.836
CD48 (962),RCSD1 (92241),0.812
IRF6 (3664),PRRG2 (5639),0.817
IRF6 (3664),RAB25 (57111),0.849
IRF6 (3664),MARVELD3 (91862),0.858
IRF6 (3664),CBLC (23624),0.802
IRF6 (3664),LAD1 (3898),0.822
IRF6 (3664),BICDL2 (146439),0.815
IRF6 (3664),SPINT1 (6692),0.82
IRF6 (3664),CDC42BPG (55561),0.826
IRF6 (3664),OVOL1 (5017),0.811
IRF6 (3664),KDF1 (126695),0.876
IRF6 (3664),CLDN7 (1366),0.832
IRF6 (3664),TMEM30B (161291),0.815
IRF6 (3664),S100A14 (57402),0.805
IRF6 (3664),IQANK1 (642574),0.831
IRF6 (3664),C1orf210 (149466),0.801
RPA2 (6118),PPP1R8 (5511),0.806
IRAG2 (4033),SASH3 (54440),0.818
IRAG2 (4033),CD53 (963),0.828
IRAG2 (4033),P2RY8 (286530),0.825
IRAG2 (4033),IKZF1 (10320),0.839
IRAG2 (4033),RCSD1 (92241),0.813
BSPRY (54836),OVOL2 (58495),0.806
BSPRY (54836),KDF1 (126695),0.813
CSF3R (1441),PRAM1 (84106),0.806
CSF3R (1441),AZU1 (566),0.804
CSF3R (1441),RAB44 (401258),0.813
EPCAM (4072),OVOL2 (58495),0.846
EPCAM (4072),PRRG2 (5639),0.811
EPCAM (4072),CRB3 (92359),0.85
EPCAM (4072),RAB25 (57111),0.816
EPCAM (4072),MARVELD3 (91862),0.87
EPCAM (4072),GRB7 (2886),0.803
EPCAM (4072),CNKSR1 (10256),0.819
EPCAM (4072),MAL2 (114569),0.856
EPCAM (4072),ST14 (6768),0.815
EPCAM (4072),MARVELD2 (153562),0.862
EPCAM (4072),LAD1 (3898),0.832
EPCAM (4072),ELF3 (1999),0.815
EPCAM (4072),CDS1 (1040),0.806
EPCAM (4072),CHMP4C (92421),0.813
EPCAM (4072),SPINT1 (6692),0.851
EPCAM (4072),TMC4 (147798),0.826
EPCAM (4072),CDC42BPG (55561),0.831
EPCAM (4072),KDF1 (126695),0.885
EPCAM (4072),TMEM125 (128218),0.821
EPCAM (4072),CLDN7 (1366),0.858
EPCAM (4072),CLDN4 (1364),0.817
